"WAVELENGTH (MICRONS)" "FLUX (ERG/CM2/S/A)"
2.000000000e-01 3.6951749e+04
2.004000000e-01 4.2057627e+04
2.008008000e-01 4.3011074e+04
2.012024016e-01 4.9976637e+04
2.016048064e-01 4.8419087e+04
2.020080160e-01 4.8654212e+04
2.024120320e-01 5.0720898e+04
2.028168561e-01 5.5529898e+04
2.032224898e-01 6.3450203e+04
2.036289348e-01 6.3770034e+04
2.040361927e-01 6.6783065e+04
2.044442651e-01 6.5217636e+04
2.048531536e-01 7.0133060e+04
2.052628599e-01 7.4133255e+04
2.056733856e-01 8.3538373e+04
2.060847324e-01 7.8987936e+04
2.064969019e-01 7.7282266e+04
2.069098957e-01 8.7599512e+04
2.073237154e-01 3.9837427e+05
2.077383629e-01 2.1307513e+05
2.081538396e-01 4.3637711e+05
2.085701473e-01 4.3534046e+05
2.089872876e-01 7.9416256e+05
2.094052622e-01 5.4651485e+05
2.098240727e-01 8.2491234e+05
2.102437208e-01 6.6314346e+05
2.106642083e-01 6.2143322e+05
2.110855367e-01 8.8934612e+05
2.115077078e-01 6.8335343e+05
2.119307232e-01 7.9159964e+05
2.123545846e-01 1.3054237e+06
2.127792938e-01 6.3738922e+05
2.132048524e-01 1.3955083e+06
2.136312621e-01 1.0592074e+06
2.140585246e-01 8.4111832e+05
2.144866417e-01 1.1701588e+06
2.149156149e-01 6.4831427e+05
2.153454462e-01 1.4040056e+06
2.157761371e-01 1.6242478e+06
2.162076893e-01 1.1110350e+06
2.166401047e-01 9.6537938e+05
2.170733849e-01 1.2989301e+06
2.175075317e-01 2.2089572e+06
2.179425468e-01 7.1400580e+05
2.183784318e-01 1.2839830e+06
2.188151887e-01 1.9370081e+06
2.192528191e-01 2.3096144e+06
2.196913247e-01 2.8075682e+06
2.201307074e-01 1.4503373e+06
2.205709688e-01 3.5707839e+06
2.210121107e-01 2.6298243e+06
2.214541349e-01 3.9505589e+06
2.218970432e-01 1.3545423e+06
2.223408373e-01 2.3379828e+06
2.227855190e-01 3.6235996e+06
2.232310900e-01 5.4921396e+06
2.236775522e-01 7.6203466e+06
2.241249073e-01 3.8555665e+06
2.245731571e-01 6.0762801e+06
2.250223034e-01 7.6612270e+06
2.254723480e-01 1.0275455e+07
2.259232927e-01 1.2872699e+06
2.263751393e-01 2.5714074e+06
2.268278896e-01 3.8264254e+06
2.272815454e-01 9.2978256e+06
2.277361085e-01 8.3170874e+06
2.281915807e-01 6.8489599e+06
2.286479638e-01 5.9224323e+06
2.291052598e-01 1.1600683e+07
2.295634703e-01 1.3301238e+07
2.300225972e-01 5.1589035e+06
2.304826424e-01 3.5338452e+06
2.309436077e-01 7.7180257e+06
2.314054949e-01 1.5637025e+07
2.318683059e-01 2.4715436e+07
2.323320425e-01 1.0733450e+07
2.327967066e-01 1.2186563e+07
2.332623000e-01 2.9628862e+07
2.337288246e-01 2.7646615e+07
2.341962823e-01 3.1706767e+07
2.346646748e-01 5.1963555e+06
2.351340042e-01 8.6173077e+06
2.356042722e-01 1.0637270e+07
2.360754807e-01 2.1594814e+07
2.365476317e-01 1.8445079e+07
2.370207270e-01 1.1323687e+07
2.374947684e-01 1.5768297e+07
2.379697580e-01 4.0440009e+07
2.384456975e-01 4.7530856e+07
2.389225889e-01 2.4482708e+07
2.394004340e-01 2.6624374e+07
2.398792349e-01 5.0817542e+07
2.403589934e-01 1.0494981e+08
2.408397114e-01 1.1190550e+08
2.413213908e-01 3.8049068e+07
2.418040336e-01 2.3447188e+07
2.422876416e-01 3.1777301e+07
2.427722169e-01 1.1593764e+08
2.432577614e-01 1.2271961e+08
2.437442769e-01 8.8278899e+07
2.442317654e-01 1.3478734e+08
2.447202290e-01 1.9063925e+08
2.452096694e-01 2.3209562e+08
2.457000888e-01 2.3233933e+08
2.461914889e-01 3.9076696e+07
2.466838719e-01 1.4364911e+08
2.471772397e-01 1.1671878e+08
2.476715941e-01 2.0612626e+08
2.481669373e-01 6.5114382e+07
2.486632712e-01 2.6074121e+07
2.491605977e-01 3.0521177e+07
2.496589189e-01 1.0049143e+08
2.501582368e-01 1.3253527e+08
2.506585533e-01 1.7683915e+08
2.511598704e-01 6.7382332e+07
2.516621901e-01 1.2258610e+08
2.521655145e-01 1.1103733e+08
2.526698455e-01 1.2977575e+08
2.531751852e-01 2.6277226e+08
2.536815356e-01 5.3350308e+08
2.541888986e-01 4.8852704e+08
2.546972764e-01 4.9335780e+08
2.552066710e-01 8.1978850e+08
2.557170843e-01 6.3284576e+08
2.562285185e-01 4.9429485e+08
2.567409755e-01 2.4867821e+08
2.572544575e-01 5.7745503e+08
2.577689664e-01 5.2840677e+08
2.582845043e-01 4.4917474e+08
2.588010734e-01 3.4013254e+08
2.593186755e-01 3.9374347e+08
2.598373128e-01 9.5433670e+08
2.603569875e-01 1.2392969e+09
2.608777014e-01 8.2189528e+08
2.613994569e-01 8.1151903e+08
2.619222558e-01 1.2514259e+09
2.624461003e-01 1.6788157e+09
2.629709925e-01 2.3711650e+09
2.634969345e-01 2.7180639e+09
2.640239283e-01 4.2359252e+09
2.645519762e-01 1.6262428e+09
2.650810801e-01 1.9397677e+09
2.656112423e-01 3.4660077e+09
2.661424648e-01 2.5696688e+09
2.666747497e-01 2.0524731e+09
2.672080992e-01 1.7911453e+09
2.677425154e-01 2.8740347e+09
2.682780004e-01 3.2499622e+09
2.688145564e-01 3.1300651e+09
2.693521856e-01 1.6975416e+09
2.698908899e-01 2.4091381e+09
2.704306717e-01 4.2552547e+09
2.709715331e-01 4.3704211e+09
2.715134761e-01 2.7601627e+09
2.720565031e-01 6.2043354e+08
2.726006161e-01 2.1177783e+09
2.731458173e-01 2.8231782e+09
2.736921089e-01 1.7540139e+09
2.742394932e-01 2.3091428e+09
2.747879721e-01 3.6545584e+09
2.753375481e-01 3.4623831e+09
2.758882232e-01 3.6742174e+09
2.764399996e-01 6.9996556e+09
2.769928796e-01 7.2759349e+09
2.775468654e-01 8.0061599e+09
2.781019591e-01 4.5448693e+09
2.786581630e-01 6.4958919e+09
2.792154794e-01 8.8907007e+09
2.797739103e-01 4.1884097e+09
2.803334581e-01 6.4917411e+09
2.808941251e-01 7.4183524e+09
2.814559133e-01 9.7032711e+09
2.820188251e-01 8.3912749e+09
2.825828628e-01 7.1289047e+09
2.831480285e-01 6.5616699e+09
2.837143246e-01 4.5797547e+09
2.842817532e-01 3.2256345e+09
2.848503167e-01 1.2842279e+09
2.854200174e-01 4.7139039e+08
2.859908574e-01 2.5896885e+09
2.865628391e-01 4.9915214e+09
2.871359648e-01 7.1832195e+09
2.877102367e-01 8.7856140e+09
2.882856572e-01 1.4422191e+10
2.888622285e-01 2.1421907e+10
2.894399530e-01 2.2643773e+10
2.900188329e-01 2.1753391e+10
2.905988705e-01 2.8511427e+10
2.911800683e-01 2.3989630e+10
2.917624284e-01 3.6762611e+10
2.923459533e-01 3.8327648e+10
2.929306452e-01 2.1083021e+10
2.935165065e-01 2.1989852e+10
2.941035395e-01 1.8528175e+10
2.946917466e-01 1.4798850e+10
2.952811301e-01 2.1555283e+10
2.958716923e-01 2.1802265e+10
2.964634357e-01 2.0574865e+10
2.970563626e-01 7.4548010e+09
2.976504753e-01 1.9480742e+10
2.982457762e-01 1.5458466e+10
2.988422678e-01 2.5583157e+10
2.994399523e-01 1.6303724e+10
3.000388322e-01 1.1527132e+10
