wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 7.785498e-39
1.001000e+03, 7.069183e-40
1.002001e+03, 2.150748e-49
1.003003e+03, 5.672115e-48
1.004006e+03, 1.259905e-44
1.005010e+03, 9.011209e-43
1.006015e+03, 5.829379e-47
1.007021e+03, 4.194570e-44
1.008028e+03, 4.470705e-46
1.009036e+03, 5.796308e-50
1.010045e+03, 7.975647e-49
1.011055e+03, 3.384807e-46
1.012066e+03, 9.606765e-48
1.013078e+03, 1.239742e-50
1.014091e+03, 1.726824e-50
1.015105e+03, 2.269853e-44
1.016121e+03, 3.464970e-43
1.017137e+03, 2.163960e-48
1.018154e+03, 4.214343e-43
1.019172e+03, 3.424709e-43
1.020191e+03, 1.376383e-43
1.021211e+03, 9.106795e-41
1.022233e+03, 1.094438e-38
1.023255e+03, 7.738283e-41
1.024278e+03, 2.017177e-43
1.025302e+03, 1.470024e-46
1.026328e+03, 9.646529e-46
1.027354e+03, 5.229582e-41
1.028381e+03, 4.256956e-46
1.029410e+03, 1.863189e-42
1.030439e+03, 5.723332e-41
1.031470e+03, 9.485266e-43
1.032501e+03, 1.453558e-38
1.033533e+03, 7.282063e-38
1.034567e+03, 1.354750e-38
1.035602e+03, 3.495803e-41
1.036637e+03, 1.161199e-44
1.037674e+03, 1.064196e-44
1.038712e+03, 2.943991e-42
1.039750e+03, 1.162396e-41
1.040790e+03, 5.867783e-45
1.041831e+03, 2.399169e-39
1.042873e+03, 4.416723e-39
1.043915e+03, 1.831386e-41
1.044959e+03, 3.848641e-37
1.046004e+03, 7.967003e-36
1.047050e+03, 9.856223e-36
1.048097e+03, 1.066013e-39
1.049145e+03, 6.733494e-45
1.050195e+03, 2.738752e-43
1.051245e+03, 7.740765e-45
1.052296e+03, 6.993907e-42
1.053348e+03, 1.009557e-42
1.054402e+03, 3.699236e-39
1.055456e+03, 1.111921e-37
1.056512e+03, 1.297708e-41
1.057568e+03, 2.531147e-38
1.058626e+03, 2.301518e-37
1.059684e+03, 5.464586e-35
1.060744e+03, 2.428182e-38
1.061805e+03, 8.376476e-40
1.062867e+03, 1.216127e-39
1.063929e+03, 2.586961e-41
1.064993e+03, 2.332762e-43
1.066058e+03, 1.641968e-38
1.067124e+03, 1.357088e-41
1.068191e+03, 9.091223e-36
1.069260e+03, 1.678834e-35
1.070329e+03, 1.535682e-41
1.071399e+03, 3.332111e-35
1.072471e+03, 2.274371e-34
1.073543e+03, 1.984652e-34
1.074617e+03, 8.436162e-39
1.075691e+03, 1.791736e-34
1.076767e+03, 1.195118e-34
1.077844e+03, 6.978979e-42
1.078922e+03, 2.498794e-40
1.080001e+03, 3.126174e-37
1.081081e+03, 2.541929e-38
1.082162e+03, 1.823533e-34
1.083244e+03, 4.158915e-33
1.084327e+03, 8.937129e-37
1.085411e+03, 5.395137e-36
1.086497e+03, 4.443465e-34
1.087583e+03, 4.420987e-32
1.088671e+03, 5.144825e-33
1.089759e+03, 3.207281e-33
1.090849e+03, 6.628338e-31
1.091940e+03, 1.519805e-32
1.093032e+03, 1.722378e-36
1.094125e+03, 1.571477e-38
1.095219e+03, 9.217526e-33
1.096314e+03, 1.199404e-33
1.097411e+03, 7.033384e-33
1.098508e+03, 1.423010e-30
1.099607e+03, 2.065909e-34
1.100706e+03, 2.427913e-34
1.101807e+03, 3.883466e-29
1.102909e+03, 1.231771e-27
1.104012e+03, 1.104381e-30
1.105116e+03, 3.098532e-30
1.106221e+03, 1.343163e-28
1.107327e+03, 4.584317e-30
1.108434e+03, 1.008784e-34
1.109543e+03, 6.328394e-36
1.110652e+03, 2.230709e-28
1.111763e+03, 6.003533e-28
1.112875e+03, 3.111840e-29
1.113988e+03, 8.916511e-29
1.115102e+03, 1.757478e-29
1.116217e+03, 9.603759e-33
1.117333e+03, 5.223326e-26
1.118450e+03, 9.803762e-25
1.119569e+03, 3.483044e-27
1.120688e+03, 3.130700e-28
1.121809e+03, 8.250432e-26
1.122931e+03, 7.759909e-28
1.124054e+03, 2.795747e-27
1.125178e+03, 1.160852e-27
1.126303e+03, 1.760584e-24
1.127429e+03, 3.521883e-25
1.128557e+03, 8.104605e-27
1.129685e+03, 9.123857e-27
1.130815e+03, 2.473768e-25
1.131946e+03, 6.078359e-28
1.133078e+03, 5.306031e-23
1.134211e+03, 3.485159e-22
1.135345e+03, 2.538101e-25
1.136480e+03, 3.835674e-21
1.137617e+03, 4.224313e-20
1.138754e+03, 1.922018e-22
1.139893e+03, 4.951365e-26
1.141033e+03, 4.059894e-21
1.142174e+03, 2.298751e-21
1.143316e+03, 1.323881e-21
1.144460e+03, 3.299386e-24
1.145604e+03, 4.899374e-25
1.146750e+03, 9.145089e-25
1.147896e+03, 3.002462e-22
1.149044e+03, 2.453119e-22
1.150193e+03, 3.198318e-21
1.151344e+03, 1.064720e-22
1.152495e+03, 3.407855e-21
1.153647e+03, 3.303721e-18
1.154801e+03, 6.974479e-19
1.155956e+03, 1.107291e-20
1.157112e+03, 5.032122e-20
1.158269e+03, 2.198206e-20
1.159427e+03, 1.439354e-20
1.160587e+03, 1.742896e-18
1.161747e+03, 1.770141e-22
1.162909e+03, 2.167933e-21
1.164072e+03, 1.055841e-19
1.165236e+03, 1.677673e-19
1.166401e+03, 4.317067e-23
1.167568e+03, 1.556350e-20
1.168735e+03, 4.298137e-20
1.169904e+03, 4.850270e-20
1.171074e+03, 6.735078e-16
1.172245e+03, 5.447337e-16
1.173417e+03, 7.631178e-17
1.174590e+03, 2.986153e-20
1.175765e+03, 2.199236e-19
1.176941e+03, 7.105275e-16
1.178118e+03, 6.302298e-15
1.179296e+03, 1.168995e-18
1.180475e+03, 5.398099e-16
1.181656e+03, 5.553519e-16
1.182837e+03, 2.092321e-16
1.184020e+03, 8.041945e-18
1.185204e+03, 9.617094e-19
1.186389e+03, 4.518999e-17
1.187576e+03, 3.659572e-15
1.188763e+03, 8.099618e-14
1.189952e+03, 7.083929e-14
1.191142e+03, 4.244833e-14
1.192333e+03, 1.254121e-17
1.193526e+03, 1.344010e-15
1.194719e+03, 2.185326e-14
1.195914e+03, 5.495018e-15
1.197110e+03, 5.399808e-14
1.198307e+03, 1.299036e-16
1.199505e+03, 4.252944e-15
1.200705e+03, 6.410833e-16
1.201905e+03, 7.226665e-17
1.203107e+03, 6.658003e-15
1.204310e+03, 2.601475e-14
1.205515e+03, 3.969985e-15
1.206720e+03, 2.150651e-14
1.207927e+03, 2.482154e-14
1.209135e+03, 3.808437e-14
1.210344e+03, 9.180111e-17
1.211554e+03, 8.143104e-15
1.212766e+03, 4.870583e-15
1.213979e+03, 1.330243e-15
1.215193e+03, 1.737654e-17
1.216408e+03, 5.895715e-17
1.217624e+03, 7.086952e-16
1.218842e+03, 1.671437e-15
1.220061e+03, 1.704649e-15
1.221281e+03, 2.991812e-15
1.222502e+03, 1.683867e-14
1.223724e+03, 9.489104e-14
1.224948e+03, 1.111455e-14
1.226173e+03, 1.012733e-13
1.227399e+03, 4.884998e-14
1.228627e+03, 3.433674e-14
1.229855e+03, 2.807374e-15
1.231085e+03, 5.398552e-14
1.232316e+03, 2.494291e-13
1.233549e+03, 1.660829e-13
1.234782e+03, 5.925120e-14
1.236017e+03, 4.843411e-14
1.237253e+03, 6.138332e-14
1.238490e+03, 1.663834e-13
1.239729e+03, 3.243655e-13
1.240968e+03, 6.960570e-14
1.242209e+03, 9.123119e-14
1.243452e+03, 1.765496e-13
1.244695e+03, 2.477594e-13
1.245940e+03, 1.222833e-13
1.247186e+03, 1.688496e-13
1.248433e+03, 2.073408e-13
1.249681e+03, 1.708733e-13
1.250931e+03, 2.858412e-13
1.252182e+03, 2.339867e-13
1.253434e+03, 2.743732e-13
1.254688e+03, 2.998885e-13
1.255942e+03, 1.381257e-13
1.257198e+03, 9.820600e-14
1.258455e+03, 1.653970e-13
1.259714e+03, 3.742197e-13
1.260974e+03, 2.186728e-13
1.262235e+03, 3.201580e-13
1.263497e+03, 4.010081e-13
1.264760e+03, 3.983508e-13
1.266025e+03, 3.160737e-13
1.267291e+03, 2.661129e-13
1.268558e+03, 4.074362e-13
1.269827e+03, 9.173763e-13
1.271097e+03, 6.133615e-13
1.272368e+03, 6.465473e-13
1.273640e+03, 1.202787e-12
1.274914e+03, 3.874105e-13
1.276189e+03, 6.617449e-13
1.277465e+03, 1.003203e-12
1.278742e+03, 6.348004e-13
1.280021e+03, 8.754839e-13
1.281301e+03, 1.763420e-12
1.282582e+03, 8.885189e-13
1.283865e+03, 1.970104e-12
1.285149e+03, 2.526094e-12
1.286434e+03, 1.413367e-12
1.287720e+03, 2.755616e-12
1.289008e+03, 3.349995e-12
1.290297e+03, 4.398314e-12
1.291588e+03, 3.944959e-12
1.292879e+03, 3.353977e-12
1.294172e+03, 6.738764e-12
1.295466e+03, 8.787493e-12
1.296762e+03, 1.082686e-11
1.298058e+03, 8.077709e-12
1.299356e+03, 1.100512e-11
1.300656e+03, 1.861214e-11
1.301956e+03, 2.900360e-11
1.303258e+03, 3.596194e-11
1.304562e+03, 3.879869e-11
1.305866e+03, 3.816269e-11
1.307172e+03, 3.780357e-11
1.308479e+03, 5.323840e-11
1.309788e+03, 5.076441e-11
1.311098e+03, 3.626731e-11
1.312409e+03, 3.062827e-11
1.313721e+03, 3.767695e-11
1.315035e+03, 2.621688e-11
1.316350e+03, 3.311835e-11
1.317666e+03, 4.040444e-11
1.318984e+03, 2.607497e-11
1.320303e+03, 3.527499e-11
1.321623e+03, 3.696524e-11
1.322945e+03, 2.795395e-11
1.324268e+03, 2.716015e-11
1.325592e+03, 3.420298e-11
1.326918e+03, 3.687636e-11
1.328244e+03, 4.735083e-11
1.329573e+03, 5.591039e-11
1.330902e+03, 6.203494e-11
1.332233e+03, 8.015286e-11
1.333565e+03, 5.346257e-11
1.334899e+03, 8.899969e-11
1.336234e+03, 8.903117e-11
1.337570e+03, 9.588296e-11
1.338908e+03, 9.415576e-11
1.340247e+03, 1.035656e-10
1.341587e+03, 1.220326e-10
1.342928e+03, 8.101282e-11
1.344271e+03, 1.128494e-10
1.345616e+03, 8.067060e-11
1.346961e+03, 8.833396e-11
1.348308e+03, 1.096816e-10
1.349656e+03, 9.883466e-11
1.351006e+03, 1.277513e-10
1.352357e+03, 1.735738e-10
1.353709e+03, 2.332152e-10
1.355063e+03, 2.730270e-10
1.356418e+03, 2.233997e-10
1.357775e+03, 2.485567e-10
1.359132e+03, 2.507145e-10
1.360492e+03, 2.032207e-10
1.361852e+03, 1.992714e-10
1.363214e+03, 1.898930e-10
1.364577e+03, 2.294538e-10
1.365942e+03, 1.676522e-10
1.367308e+03, 1.816930e-10
1.368675e+03, 1.457249e-10
1.370044e+03, 1.897288e-10
1.371414e+03, 1.657065e-10
1.372785e+03, 1.740263e-10
1.374158e+03, 1.457722e-10
1.375532e+03, 2.162142e-10
1.376908e+03, 1.685951e-10
1.378284e+03, 2.989906e-10
1.379663e+03, 2.583886e-10
1.381042e+03, 3.338348e-10
1.382423e+03, 4.008273e-10
1.383806e+03, 4.144762e-10
1.385190e+03, 4.516112e-10
1.386575e+03, 5.853685e-10
1.387961e+03, 6.840682e-10
1.389349e+03, 7.935831e-10
1.390739e+03, 7.870928e-10
1.392130e+03, 1.000425e-09
1.393522e+03, 1.117522e-09
1.394915e+03, 1.191307e-09
1.396310e+03, 1.567518e-09
1.397706e+03, 1.849406e-09
1.399104e+03, 2.072729e-09
